latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-0.35249,-91.53081,323.98,4.03,1.86,03/03/2024,733,Aqua,MODIS,0,6.1NRT,289.33,128.17,N
-0.35709,-91.49966,324.87,4,1.86,03/03/2024,733,Aqua,MODIS,81,6.1NRT,289.46,135.93,N
-0.36812,-91.53927,384.95,4.03,1.86,03/03/2024,733,Aqua,MODIS,100,6.1NRT,295.15,1276.25,N
-0.37381,-91.50031,459.26,4,1.86,03/03/2024,733,Aqua,MODIS,100,6.1NRT,310.24,6202.97,N
-0.37777,-91.47337,341.42,3.97,1.85,03/03/2024,733,Aqua,MODIS,100,6.1NRT,292,306.21,N
-0.38208,-91.44398,320.54,3.95,1.85,03/03/2024,733,Aqua,MODIS,92,6.1NRT,291.48,96.24,N
-0.38014,-91.57251,365.46,4.05,1.87,03/03/2024,733,Aqua,MODIS,100,6.1NRT,275.07,736.28,N
-0.38511,-91.53825,482.99,4.03,1.86,03/03/2024,733,Aqua,MODIS,100,6.1NRT,311.92,9281.91,N
-0.39014,-91.50359,508.63,4,1.86,03/03/2024,733,Aqua,MODIS,100,6.1NRT,400.07,13490.32,N
-0.39419,-91.47583,481.82,3.97,1.85,03/03/2024,733,Aqua,MODIS,100,6.1NRT,322.67,8945.34,N
-0.3985,-91.44621,328.3,3.95,1.85,03/03/2024,733,Aqua,MODIS,99,6.1NRT,292.75,162.29,N
-0.34484,-91.50659,313.24,4,1.86,03/03/2024,733,Aqua,MODIS,31,6.1NRT,288.82,57.69,N
-0.35611,-91.54265,323.17,4.03,1.86,03/03/2024,733,Aqua,MODIS,69,6.1NRT,289.89,124.28,N
-0.3618,-91.50585,356.65,4,1.86,03/03/2024,733,Aqua,MODIS,100,6.1NRT,290.54,541.97,N
-0.36601,-91.47854,319.14,3.97,1.85,03/03/2024,733,Aqua,MODIS,69,6.1NRT,290.41,79.62,N
-0.36724,-91.58018,318.18,4.05,1.87,03/03/2024,733,Aqua,MODIS,78,6.1NRT,280.54,88.87,N
-0.37196,-91.54938,370.6,4.03,1.86,03/03/2024,733,Aqua,MODIS,100,6.1NRT,290.72,853.45,N
-0.378,-91.5099,502.99,4,1.86,03/03/2024,733,Aqua,MODIS,100,6.1NRT,338.56,12442.38,N
-0.38256,-91.48012,416.17,3.97,1.85,03/03/2024,733,Aqua,MODIS,100,6.1NRT,305.82,2647,N
-0.387,-91.45116,325.74,3.95,1.85,03/03/2024,733,Aqua,MODIS,100,6.1NRT,291.8,139.43,N
-0.38376,-91.58282,355.17,4.05,1.87,03/03/2024,733,Aqua,MODIS,100,6.1NRT,271.77,522.28,N
-0.38968,-91.54382,433.96,4.03,1.86,03/03/2024,733,Aqua,MODIS,100,6.1NRT,289.43,3903.23,N
-0.39459,-91.51147,503.78,4,1.86,03/03/2024,733,Aqua,MODIS,100,6.1NRT,400.07,12579.47,N
-0.3989,-91.48312,503,3.97,1.85,03/03/2024,733,Aqua,MODIS,100,6.1NRT,400.07,12323.37,N
-0.4034,-91.45348,325.34,3.95,1.85,03/03/2024,733,Aqua,MODIS,91,6.1NRT,294.15,130.28,N
-0.39938,-91.59145,318,4.05,1.87,03/03/2024,733,Aqua,MODIS,71,6.1NRT,282.36,84.5,N
-0.40574,-91.54913,370.21,4.03,1.86,03/03/2024,733,Aqua,MODIS,100,6.1NRT,286.09,837.44,N
-0.41043,-91.51804,485.71,4,1.86,03/03/2024,733,Aqua,MODIS,100,6.1NRT,305.57,9588.93,N
-0.41508,-91.48718,487.63,3.97,1.85,03/03/2024,733,Aqua,MODIS,100,6.1NRT,318.83,9788.28,N
-0.4197,-91.45649,323.35,3.95,1.85,03/03/2024,733,Aqua,MODIS,92,6.1NRT,292.83,113.61,N
-0.4209,-91.56066,327.91,4.03,1.86,03/03/2024,733,Aqua,MODIS,100,6.1NRT,287.21,160.86,N
-0.42611,-91.52577,335.87,4,1.86,03/03/2024,733,Aqua,MODIS,100,6.1NRT,291.54,233.4,N
-0.43118,-91.49181,329.83,3.97,1.85,03/03/2024,733,Aqua,MODIS,100,6.1NRT,292.59,169.91,N
-0.43595,-91.45987,321.35,3.95,1.85,03/03/2024,733,Aqua,MODIS,95,6.1NRT,291.86,95.67,N
-0.43692,-91.56649,313.1,4.03,1.86,03/03/2024,733,Aqua,MODIS,26,6.1NRT,287.73,47.21,N
-0.44221,-91.53075,318.07,4,1.86,03/03/2024,733,Aqua,MODIS,92,6.1NRT,291.33,82.06,N
-0.41206,-91.56055,325.72,4.03,1.86,03/03/2024,733,Aqua,MODIS,95,6.1NRT,286.14,0,N
-0.4173,-91.5272,374.67,4,1.86,03/03/2024,733,Aqua,MODIS,100,6.1NRT,292.8,959.51,N
-0.42249,-91.49417,432.11,3.97,1.85,03/03/2024,733,Aqua,MODIS,100,6.1NRT,306.46,3703.85,N
-0.42741,-91.46279,321.09,3.95,1.85,03/03/2024,733,Aqua,MODIS,91,6.1NRT,293.06,0,N
-0.42763,-91.56898,308.33,4.03,1.86,03/03/2024,733,Aqua,MODIS,12,6.1NRT,287.14,43.91,N
-0.43318,-91.53335,316.93,4,1.86,03/03/2024,733,Aqua,MODIS,85,6.1NRT,290.43,89.17,N
-0.43854,-91.49896,324.31,3.97,1.85,03/03/2024,733,Aqua,MODIS,100,6.1NRT,291.93,136.27,N
-0.39556,-91.51237,386.52,2.23,1.45,03/03/2024,1624,Terra,MODIS,100,6.1NRT,305.49,555.07,D
-0.39894,-91.48872,414.75,2.24,1.45,03/03/2024,1624,Terra,MODIS,100,6.1NRT,314.16,1102.38,D
-0.40883,-91.51089,427.52,2.23,1.45,03/03/2024,1624,Terra,MODIS,100,6.1NRT,316.92,1457.91,D
-0.41193,-91.48936,499.97,2.24,1.45,03/03/2024,1624,Terra,MODIS,100,6.1NRT,334.51,5173.05,D
-0.422,-91.51025,370.74,2.23,1.45,03/03/2024,1624,Terra,MODIS,100,6.1NRT,311.49,344.24,D
-0.42495,-91.48992,483.19,2.24,1.45,03/03/2024,1624,Terra,MODIS,100,6.1NRT,334.1,4000.76,D
-0.42801,-91.46888,399.6,2.25,1.45,03/03/2024,1624,Terra,MODIS,100,6.1NRT,312.53,768.01,D
-0.43797,-91.49049,394.28,2.24,1.45,03/03/2024,1624,Terra,MODIS,100,6.1NRT,311.91,670.05,D
-0.43724,-91.49628,375.4,2.24,1.45,03/03/2024,1624,Terra,MODIS,100,6.1NRT,310.61,394.94,D
-0.44008,-91.47573,363.76,2.25,1.45,03/03/2024,1624,Terra,MODIS,100,6.1NRT,309.33,269.73,D
-0.44465,-91.4914,381.22,1.6,1.24,03/03/2024,1951,Aqua,MODIS,100,6.1NRT,311.07,273.9,D
-0.43147,-91.47852,391.44,1.59,1.24,03/03/2024,1951,Aqua,MODIS,100,6.1NRT,309.84,365.34,D
-0.43353,-91.49239,466.79,1.6,1.24,03/03/2024,1951,Aqua,MODIS,100,6.1NRT,329.75,1852.15,D
-0.42036,-91.47949,399.35,1.59,1.24,03/03/2024,1951,Aqua,MODIS,100,6.1NRT,309.65,451.63,D
-0.42238,-91.49318,495.58,1.6,1.24,03/03/2024,1951,Aqua,MODIS,100,6.1NRT,331.92,2949.15,D
-0.41123,-91.49397,461.34,1.6,1.24,03/03/2024,1951,Aqua,MODIS,100,6.1NRT,322.24,1689.14,D
-0.40009,-91.49475,447.47,1.6,1.24,03/03/2024,1951,Aqua,MODIS,100,6.1NRT,315.89,1308.66,D
-0.39072,-91.50775,377.48,1.6,1.25,03/03/2024,1951,Aqua,MODIS,94,6.1NRT,302.25,255.79,D
-0.37956,-91.50845,342.4,1.6,1.25,03/03/2024,1951,Aqua,MODIS,90,6.1NRT,299.78,72.17,D
-0.3819,-91.52477,341,1.6,1.25,03/03/2024,1951,Aqua,MODIS,79,6.1NRT,296.72,69.78,D
-0.37846,-91.51208,342.66,1.02,1.01,04/03/2024,811,Aqua,MODIS,100,6.1NRT,300.77,46.9,N
-0.37981,-91.50287,347.09,1.02,1.01,04/03/2024,811,Aqua,MODIS,100,6.1NRT,300.01,54.34,N
-0.3861,-91.52209,315.79,1.02,1.01,04/03/2024,811,Aqua,MODIS,43,6.1NRT,292,11.45,N
-0.38741,-91.51331,385.36,1.02,1.01,04/03/2024,811,Aqua,MODIS,100,6.1NRT,302.28,178.69,N
-0.38877,-91.50408,504.26,1.02,1.01,04/03/2024,811,Aqua,MODIS,100,6.1NRT,333.05,1753.1,N
-0.39013,-91.49483,425.52,1.02,1.01,04/03/2024,811,Aqua,MODIS,100,6.1NRT,321.36,452.37,N
