latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-0.384002,-91.602081,345.62,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,288.06,4.33,D
-0.389037,-91.601723,340.58,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,278.22,4.33,D
-0.387754,-91.59359,347.53,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,288.08,6.06,D
-0.391563,-91.585495,367.0,0.62,0.54,2017-09-04,1900,N,VIIRS,l,1,288.33,8.68,D
-0.392891,-91.59388,346.88,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,280.33,8.68,D
-0.396711,-91.585869,351.73,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,280.24,8.68,D
-0.408284,-91.594604,367.0,0.62,0.54,2017-09-04,1900,N,VIIRS,l,1,279.24,93.21,D
-0.415959,-91.578262,349.19,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,286.64,10.06,D
-0.414978,-91.571777,355.22,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,287.17,155.01,D
-0.41796,-91.591515,343.0,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,286.74,10.09,D
-0.418925,-91.5979,344.3,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,286.31,10.09,D
-0.419871,-91.604156,346.21,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,285.64,16.92,D
-0.413882,-91.598206,352.58,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,280.12,85.7,D
-0.41578,-91.610794,352.17,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,281.77,28.51,D
-0.416717,-91.617004,340.3,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,277.47,21.63,D
-0.411859,-91.584778,367.0,0.62,0.54,2017-09-04,1900,N,VIIRS,l,1,287.16,233.73,D
-0.414833,-91.604507,367.0,0.62,0.54,2017-09-04,1900,N,VIIRS,l,1,280.28,28.51,D
-0.408823,-91.598404,367.0,0.62,0.54,2017-09-04,1900,N,VIIRS,l,1,277.99,85.7,D
-0.409797,-91.604881,367.0,0.62,0.54,2017-09-04,1900,N,VIIRS,l,1,276.24,28.51,D
-0.401457,-91.583176,344.36,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,281.17,138.25,D
-0.39626,-91.582375,347.35,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,282.01,138.25,D
-0.397485,-91.590599,338.89,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,278.98,39.08,D
-0.391148,-91.582138,367.0,0.62,0.54,2017-09-04,1900,N,VIIRS,h,1,290.61,29.14,D
-0.392341,-91.590172,354.19,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,282.33,13.83,D
-0.38723,-91.589958,341.47,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,292.64,13.83,D
-0.388467,-91.59832,352.09,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,279.87,13.83,D
-0.384586,-91.606468,356.84,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,280.07,14.33,D
-0.409338,-91.601234,356.33,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,276.69,9.81,D
-0.410357,-91.607635,348.32,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,274.85,9.81,D
-0.416968,-91.584938,339.52,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,286.93,10.06,D
-0.408755,-91.564171,367.0,0.62,0.54,2017-09-04,1900,N,VIIRS,h,1,346.35,1227.36,D
-0.406727,-91.550713,367.0,0.62,0.54,2017-09-04,1900,N,VIIRS,l,1,380.0,3958.2,D
-0.407737,-91.557411,367.0,0.62,0.54,2017-09-04,1900,N,VIIRS,l,1,380.0,3958.2,D
-0.403467,-91.562729,367.0,0.62,0.54,2017-09-04,1900,N,VIIRS,h,1,349.82,1227.36,D
-0.401465,-91.5494,367.0,0.62,0.54,2017-09-04,1900,N,VIIRS,l,1,380.0,3958.2,D
-0.402439,-91.555878,367.0,0.62,0.54,2017-09-04,1900,N,VIIRS,l,1,380.0,3958.2,D
-0.402588,-91.558853,367.0,0.62,0.54,2017-09-04,1900,N,VIIRS,l,1,380.0,1802.79,D
-0.403672,-91.565659,208.0,0.62,0.54,2017-09-04,1900,N,VIIRS,l,1,315.06,1802.79,D
-0.405752,-91.544243,367.0,0.62,0.54,2017-09-04,1900,N,VIIRS,h,1,339.98,1315.61,D
-0.400544,-91.543274,367.0,0.62,0.54,2017-09-04,1900,N,VIIRS,h,1,342.12,1315.61,D
-0.39887,-91.532173,341.02,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,296.31,6.36,D
-0.399677,-91.537529,356.03,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,297.66,1315.61,D
-0.394698,-91.538086,350.64,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,303.84,126.7,D
-0.395462,-91.543159,356.74,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,308.71,126.7,D
-0.390706,-91.54525,348.09,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,303.74,126.7,D
-0.399594,-91.540016,367.0,0.62,0.54,2017-09-04,1900,N,VIIRS,h,1,301.58,106.89,D
-0.397889,-91.529259,335.17,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,297.81,3.61,D
-0.398722,-91.534523,347.37,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,299.03,106.89,D
-0.400526,-91.545898,367.0,0.62,0.54,2017-09-04,1900,N,VIIRS,l,1,380.0,4333.88,D
-0.393834,-91.535645,339.76,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,303.52,106.89,D
-0.394602,-91.540512,354.68,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,305.71,106.89,D
-0.389914,-91.542885,339.27,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,303.9,14.96,D
-0.390637,-91.547485,350.75,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,300.94,27.22,D
-0.393288,-91.56427,367.0,0.62,0.54,2017-09-04,1900,N,VIIRS,l,1,380.0,916.65,D
-0.386548,-91.553711,339.6,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,298.81,27.22,D
-0.387309,-91.558556,353.29,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,298.54,916.65,D
-0.38328,-91.565201,333.81,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,299.82,5.56,D
-0.393135,-91.56144,367.0,0.62,0.54,2017-09-04,1900,N,VIIRS,l,1,380.0,1081.96,D
-0.387281,-91.556206,351.22,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,297.73,23.26,D
-0.388088,-91.561592,356.54,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,303.0,355.26,D
-0.398445,-91.564758,367.0,0.62,0.54,2017-09-04,1900,N,VIIRS,h,1,362.33,1802.79,D
-0.396335,-91.55146,367.0,0.62,0.54,2017-09-04,1900,N,VIIRS,l,1,380.0,4333.88,D
-0.397368,-91.557976,367.0,0.62,0.54,2017-09-04,1900,N,VIIRS,l,1,380.0,1802.79,D
-0.391407,-91.552376,367.0,0.62,0.54,2017-09-04,1900,N,VIIRS,h,1,299.77,27.22,D
-0.392296,-91.558006,367.0,0.62,0.54,2017-09-04,1900,N,VIIRS,h,1,346.7,916.65,D
-0.398259,-91.561798,367.0,0.62,0.54,2017-09-04,1900,N,VIIRS,l,1,380.0,1081.96,D
-0.397252,-91.555077,367.0,0.62,0.54,2017-09-04,1900,N,VIIRS,l,1,380.0,2240.53,D
-0.396315,-91.548843,367.0,0.62,0.54,2017-09-04,1900,N,VIIRS,h,1,371.79,2240.53,D
-0.391432,-91.550072,367.0,0.62,0.54,2017-09-04,1900,N,VIIRS,h,1,298.72,2240.53,D
-0.389238,-91.570786,355.68,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,298.14,183.69,D
-0.390359,-91.577881,367.0,0.62,0.54,2017-09-04,1900,N,VIIRS,h,1,295.26,183.69,D
-0.390052,-91.57476,367.0,0.62,0.54,2017-09-04,1900,N,VIIRS,h,1,295.67,29.14,D
-0.394117,-91.568008,367.0,0.62,0.54,2017-09-04,1900,N,VIIRS,h,1,341.85,1081.96,D
-0.399279,-91.568611,208.0,0.62,0.54,2017-09-04,1900,N,VIIRS,l,1,306.29,1081.96,D
-0.404486,-91.569504,208.0,0.62,0.54,2017-09-04,1900,N,VIIRS,l,1,299.02,1227.36,D
-0.380143,-91.60994,336.54,0.62,0.54,2017-09-04,1900,N,VIIRS,n,1,287.88,9.11,D
-0.394075,-91.57209,355.71,0.43,0.38,2017-09-05,736,N,VIIRS,n,1,318.41,44.76,N
-0.385327,-91.559303,302.2,0.43,0.38,2017-09-05,736,N,VIIRS,n,1,287.32,2.19,N
-0.385948,-91.555351,299.5,0.43,0.38,2017-09-05,736,N,VIIRS,n,1,287.24,0.89,N
-0.388202,-91.563835,321.19,0.43,0.38,2017-09-05,736,N,VIIRS,n,1,290.76,2.19,N
-0.388806,-91.55999,332.02,0.43,0.38,2017-09-05,736,N,VIIRS,n,1,288.6,2.19,N
-0.389416,-91.556114,311.45,0.43,0.38,2017-09-05,736,N,VIIRS,n,1,287.56,0.89,N
-0.39004,-91.552139,309.87,0.43,0.38,2017-09-05,736,N,VIIRS,n,1,287.57,0.89,N
-0.390673,-91.548119,305.56,0.43,0.38,2017-09-05,736,N,VIIRS,n,1,287.36,1.21,N
-0.391727,-91.564224,346.56,0.43,0.38,2017-09-05,736,N,VIIRS,n,1,343.62,327.33,N
-0.392326,-91.560417,367.0,0.43,0.38,2017-09-05,736,N,VIIRS,h,1,376.89,327.33,N
-0.392926,-91.556602,339.15,0.43,0.38,2017-09-05,736,N,VIIRS,n,1,305.63,115.53,N
-0.393531,-91.552765,339.84,0.43,0.38,2017-09-05,736,N,VIIRS,n,1,292.1,115.53,N
-0.394142,-91.548882,319.03,0.43,0.38,2017-09-05,736,N,VIIRS,n,1,289.18,65.71,N
-0.395256,-91.56459,367.0,0.43,0.38,2017-09-05,736,N,VIIRS,h,1,350.35,327.33,N
-0.395851,-91.560814,367.0,0.43,0.38,2017-09-05,736,N,VIIRS,h,1,336.16,327.33,N
-0.396448,-91.55703,340.49,0.43,0.38,2017-09-05,736,N,VIIRS,n,1,320.85,115.53,N
-0.397048,-91.553223,367.0,0.43,0.38,2017-09-05,736,N,VIIRS,h,1,373.27,115.53,N
-0.397654,-91.549377,367.0,0.43,0.38,2017-09-05,736,N,VIIRS,h,1,373.09,65.71,N
-0.398804,-91.56485,367.0,0.43,0.38,2017-09-05,736,N,VIIRS,h,1,329.23,78.89,N
-0.3994,-91.561073,356.58,0.43,0.38,2017-09-05,736,N,VIIRS,n,1,301.67,78.89,N
-0.399997,-91.557281,354.44,0.43,0.38,2017-09-05,736,N,VIIRS,n,1,309.83,96.3,N
-0.400596,-91.553482,367.0,0.43,0.38,2017-09-05,736,N,VIIRS,h,1,356.8,96.3,N
-0.396442,-91.579849,328.81,0.43,0.38,2017-09-05,736,N,VIIRS,n,1,291.12,20.03,N
-0.397026,-91.576134,351.77,0.43,0.38,2017-09-05,736,N,VIIRS,n,1,308.73,20.03,N
-0.397614,-91.572403,353.88,0.43,0.38,2017-09-05,736,N,VIIRS,n,1,329.99,45.84,N
-0.398207,-91.568634,354.51,0.43,0.38,2017-09-05,736,N,VIIRS,n,1,311.81,45.84,N
-0.400572,-91.576401,347.73,0.43,0.38,2017-09-05,736,N,VIIRS,n,1,307.26,20.03,N
-0.401163,-91.572655,352.36,0.43,0.38,2017-09-05,736,N,VIIRS,n,1,322.64,45.84,N
-0.401757,-91.568886,353.41,0.43,0.38,2017-09-05,736,N,VIIRS,n,1,317.46,45.84,N
-0.404118,-91.576668,335.62,0.43,0.38,2017-09-05,736,N,VIIRS,n,1,294.45,17.72,N
-0.404714,-91.572891,354.53,0.43,0.38,2017-09-05,736,N,VIIRS,n,1,315.19,24.07,N
-0.405313,-91.569107,367.0,0.43,0.38,2017-09-05,736,N,VIIRS,h,1,298.93,24.07,N
-0.407677,-91.576874,342.2,0.43,0.38,2017-09-05,736,N,VIIRS,n,1,305.75,17.72,N
-0.408276,-91.573082,355.84,0.43,0.38,2017-09-05,736,N,VIIRS,n,1,293.74,24.07,N
-0.408879,-91.569275,347.32,0.43,0.38,2017-09-05,736,N,VIIRS,n,1,304.4,24.07,N
