date_only,satellite,distance_km,frp,latitude,longitude,source
2024-03-03,NOAA20,4.492472523387179,453.96,-0.36821,-91.51338,2
2024-03-03,SNPP,6.660819312917534,545.9,-0.44185,-91.49049,1
2024-03-04,NOAA20,7.915026950976887,539.06,-0.40527,-91.51182,2
2024-03-04,SNPP,7.809273683300764,300.74,-0.41359,-91.49468,1
2024-03-05,NOAA20,5.093839352741885,147.28,-0.41552,-91.49334,2
2024-03-05,SNPP,7.549818396748491,274.56,-0.3916,-91.49863,1
2024-03-06,NOAA20,4.7687888839155175,303.88,-0.41131,-91.49716,2
2024-03-06,SNPP,5.156463534932441,449.31,-0.41522,-91.48397,1
2024-03-07,NOAA21,6.27916807454354,60.55,-0.42649,-91.48441,3
2024-03-07,SNPP,6.632395363924917,490.44,-0.40397,-91.50739,1
2024-03-08,NOAA20,5.864610655062295,211.77,-0.42978,-91.48279,2
2024-03-09,SNPP,4.17349315726292,47.69,-0.4077,-91.49504,1
2024-03-10,NOAA20,5.066779342778429,445.37,-0.40777,-91.48625,2
2024-03-10,NOAA21,5.005466053117794,318.69,-0.39923,-91.50378,3
2024-03-10,SNPP,2.4708738639003696,52.06,-0.40025,-91.5072,1
2024-03-11,NOAA21,5.260006196481908,57.34,-0.42745,-91.48863,3
2024-03-12,SNPP,6.2937267329431155,412.1,-0.42278,-91.49529,1
2024-03-13,NOAA21,6.539732031465872,86.13,-0.42383,-91.49104,3
2024-03-15,NOAA20,6.220622302096475,87.76,-0.42355,-91.48726,2
2024-03-16,NOAA20,4.851937454402912,40.1,-0.42109,-91.48671,2
2024-03-16,NOAA21,9.24344233056286,402.15,-0.45229,-91.48826,3
2024-03-16,SNPP,9.162970453376941,297.31,-0.44214,-91.49388,1
2024-03-17,SNPP,9.545863324527245,313.04,-0.44099,-91.48188,1
2024-03-18,NOAA20,8.402439942645515,62.05,-0.4552,-91.48476,2
2024-03-18,SNPP,9.802013259359112,308.44,-0.45805,-91.48675,1
2024-03-22,NOAA21,9.385447879817853,122.39,-0.46403,-91.47736,3
2024-03-23,SNPP,7.6872777888463775,80.62,-0.45086,-91.48987,1
2024-03-25,NOAA20,7.870723158397558,25.36,-0.45101,-91.48788,2
2024-03-25,NOAA21,8.306669455625594,63.85,-0.45044,-91.4793,3
2024-03-27,NOAA20,7.141235698866786,22.83,-0.44591,-91.48627,2
2024-03-28,NOAA20,9.966884441907638,112.42,-0.45913,-91.48199,2
2024-03-28,SNPP,9.827832022488442,199.99,-0.4641,-91.47198,1
2024-03-29,NOAA21,10.26598742050695,35.4,-0.46516,-91.47427,3
2024-03-30,NOAA20,9.576951441190776,162.76,-0.465,-91.47552,2
2024-03-30,NOAA21,10.731343866108498,56.4,-0.47196,-91.48227,3
2024-03-30,SNPP,10.553794669216346,55.47,-0.47376,-91.47621,1
2024-03-31,NOAA20,10.836637229495313,60.05,-0.45624,-91.48197,2
2024-03-31,NOAA21,10.870939291928899,69.73,-0.46466,-91.47657,3
2024-04-01,NOAA20,11.042642212033062,178.85,-0.45779,-91.48569,2
2024-04-01,NOAA21,11.106666321888333,69.79,-0.46771,-91.47609,3
2024-04-01,SNPP,11.286700320749913,107.03,-0.47002,-91.47089,1
2024-04-02,NOAA20,11.842005278525283,55.06,-0.46381,-91.47664,2
2024-04-02,NOAA21,11.895366124061672,204.66,-0.45495,-91.48744,3
2024-04-02,SNPP,11.735216355839432,66.17,-0.47333,-91.46768,1
2024-04-03,NOAA20,12.224462847487988,49.98,-0.48164,-91.46624,2
2024-04-03,NOAA21,12.541344085962313,115.45,-0.47666,-91.47565,3
2024-04-03,SNPP,11.882169070736403,149.79,-0.47653,-91.47272,1
2024-04-04,NOAA20,12.818426452896441,147.39,-0.47124,-91.47682,2
2024-04-04,SNPP,12.084267366584589,81.11,-0.4843,-91.46382,1
2024-04-05,NOAA20,12.818648367044254,101.55,-0.4752,-91.47711,2
2024-04-05,NOAA21,12.937476455890799,90.91,-0.46193,-91.48437,3
2024-04-05,SNPP,11.744016008843976,172.76,-0.45754,-91.48465,1
2024-04-06,NOAA20,10.597025227164206,76.44,-0.47516,-91.47874,2
2024-04-06,NOAA21,13.224797174389947,83.51,-0.4534,-91.48795,3
2024-04-06,SNPP,12.984266786658713,51.01,-0.45969,-91.48795,1
2024-04-07,NOAA20,11.14489183860763,36.68,-0.4618,-91.47987,2
2024-04-07,NOAA21,13.022095458499436,42.34,-0.45654,-91.48479,3
2024-04-07,SNPP,12.719555182353652,68.51,-0.46467,-91.48491,1
2024-04-08,NOAA20,13.263761860734409,72.87,-0.4976,-91.47131,2
