latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,date,source,distance_km
-0.73998,-91.183861,331.26,0.39,0.44,2018-06-27,706,SNPP,VIIRS,n,1,304.77,46.51,N,2018-06-27 07:06:00,1,8.43921081128576
-0.768759,-91.132919,367.0,0.39,0.44,2018-06-27,706,SNPP,VIIRS,h,1,326.07,218.07,N,2018-06-27 07:06:00,1,1.9788702157163967
-0.768188,-91.136444,367.0,0.39,0.44,2018-06-27,706,SNPP,VIIRS,h,1,329.45,218.07,N,2018-06-27 07:06:00,1,2.3178290004553292
-0.773688,-91.12648,367.0,0.39,0.44,2018-06-27,706,SNPP,VIIRS,h,1,370.42,826.11,N,2018-06-27 07:06:00,1,1.0863466357999008
-0.709749,-91.191261,367.0,0.39,0.44,2018-06-27,706,SNPP,VIIRS,h,1,287.14,96.57,N,2018-06-27 07:06:00,1,11.204771891530813
-0.710309,-91.187714,347.42,0.39,0.44,2018-06-27,706,SNPP,VIIRS,n,1,321.17,96.57,N,2018-06-27 07:06:00,1,10.884402258044
-0.710872,-91.184151,333.86,0.39,0.44,2018-06-27,706,SNPP,VIIRS,n,1,311.84,58.67,N,2018-06-27 07:06:00,1,10.567958561222387
-0.714378,-91.188255,339.28,0.39,0.44,2018-06-27,706,SNPP,VIIRS,n,1,327.15,96.57,N,2018-06-27 07:06:00,1,10.605246122069438
-0.76933,-91.129402,367.0,0.39,0.44,2018-06-27,706,SNPP,VIIRS,h,1,356.04,812.3,N,2018-06-27 07:06:00,1,1.6663305473990606
-0.773139,-91.130035,367.0,0.39,0.44,2018-06-27,706,SNPP,VIIRS,h,1,330.91,826.11,N,2018-06-27 07:06:00,1,1.4173669023364068
-0.77204,-91.137161,350.45,0.39,0.44,2018-06-27,706,SNPP,VIIRS,n,1,288.98,222.06,N,2018-06-27 07:06:00,1,2.1524977941410577
-0.769585,-91.126335,367.0,0.39,0.44,2018-06-27,706,SNPP,VIIRS,h,1,356.39,826.11,N,2018-06-27 07:06:00,1,1.451624543408633
-0.769038,-91.129883,367.0,0.39,0.44,2018-06-27,706,SNPP,VIIRS,h,1,347.0,826.11,N,2018-06-27 07:06:00,1,1.7252969215078855
-0.767946,-91.136932,367.0,0.39,0.44,2018-06-27,706,SNPP,VIIRS,h,1,329.12,222.06,N,2018-06-27 07:06:00,1,2.377198676985457
-0.765501,-91.12606,367.0,0.39,0.44,2018-06-27,706,SNPP,VIIRS,h,1,356.85,670.9,N,2018-06-27 07:06:00,1,1.8504383119366477
-0.764954,-91.129585,367.0,0.39,0.44,2018-06-27,706,SNPP,VIIRS,h,1,351.27,670.9,N,2018-06-27 07:06:00,1,2.0782733968740645
-0.764408,-91.13311,367.0,0.39,0.44,2018-06-27,706,SNPP,VIIRS,h,1,358.89,524.36,N,2018-06-27 07:06:00,1,2.3512805631601745
-0.77259,-91.133598,342.72,0.39,0.44,2018-06-27,706,SNPP,VIIRS,n,1,292.18,222.06,N,2018-06-27 07:06:00,1,1.7777273669861626
-0.769905,-91.125854,367.0,0.39,0.44,2018-06-27,706,SNPP,VIIRS,h,1,369.33,812.3,N,2018-06-27 07:06:00,1,1.394874048428105
-0.772292,-91.136658,349.92,0.39,0.44,2018-06-27,706,SNPP,VIIRS,n,1,286.07,218.07,N,2018-06-27 07:06:00,1,2.0899536683236697
-0.772868,-91.133095,348.41,0.39,0.44,2018-06-27,706,SNPP,VIIRS,n,1,289.31,218.07,N,2018-06-27 07:06:00,1,1.7139063840548368
-0.726507,-91.163933,330.24,0.39,0.44,2018-06-27,706,SNPP,VIIRS,n,1,285.04,31.12,N,2018-06-27 07:06:00,1,7.7830581899155105
-0.722995,-91.159897,347.92,0.39,0.44,2018-06-27,706,SNPP,VIIRS,n,1,308.23,31.12,N,2018-06-27 07:06:00,1,7.828056745104055
-0.722429,-91.163506,346.71,0.39,0.44,2018-06-27,706,SNPP,VIIRS,n,1,290.64,31.12,N,2018-06-27 07:06:00,1,8.112664895047184
-0.718909,-91.159531,345.85,0.39,0.44,2018-06-27,706,SNPP,VIIRS,n,1,305.11,78.69,N,2018-06-27 07:06:00,1,8.184523987796782
-0.718347,-91.163094,348.94,0.39,0.44,2018-06-27,706,SNPP,VIIRS,n,1,307.4,78.69,N,2018-06-27 07:06:00,1,8.455329157480849
-0.71778,-91.166687,357.07,0.39,0.44,2018-06-27,706,SNPP,VIIRS,n,1,287.42,28.68,N,2018-06-27 07:06:00,1,8.738585162383611
-0.717215,-91.170265,367.0,0.39,0.44,2018-06-27,706,SNPP,VIIRS,h,1,286.06,28.68,N,2018-06-27 07:06:00,1,9.029866295446366
-0.714836,-91.159065,333.86,0.39,0.44,2018-06-27,706,SNPP,VIIRS,n,1,305.47,78.69,N,2018-06-27 07:06:00,1,8.543569352505832
-0.714274,-91.162621,348.65,0.39,0.44,2018-06-27,706,SNPP,VIIRS,n,1,322.5,78.69,N,2018-06-27 07:06:00,1,8.80380115810857
-0.713706,-91.166214,367.0,0.39,0.44,2018-06-27,706,SNPP,VIIRS,h,1,286.7,28.68,N,2018-06-27 07:06:00,1,9.07711138844154
-0.713136,-91.169823,367.0,0.39,0.44,2018-06-27,706,SNPP,VIIRS,h,1,284.41,28.68,N,2018-06-27 07:06:00,1,9.36115445637836
-0.723655,-91.182098,331.94,0.39,0.44,2018-06-27,706,SNPP,VIIRS,n,1,281.52,42.28,N,2018-06-27 07:06:00,1,9.398402467900755
-0.719581,-91.181595,356.26,0.39,0.44,2018-06-27,706,SNPP,VIIRS,n,1,284.24,42.28,N,2018-06-27 07:06:00,1,9.671777081637359
-0.778139,-91.126068,367.0,0.39,0.44,2018-06-27,706,SNPP,VIIRS,h,1,348.89,174.9,N,2018-06-27 07:06:00,1,0.7459110253685581
-0.777571,-91.129585,321.68,0.39,0.44,2018-06-27,706,SNPP,VIIRS,n,1,298.78,174.9,N,2018-06-27 07:06:00,1,1.131859879751149
-0.774018,-91.125992,367.0,0.39,0.44,2018-06-27,706,SNPP,VIIRS,h,1,377.76,812.3,N,2018-06-27 07:06:00,1,1.0230282344312973
-0.773444,-91.129539,367.0,0.39,0.44,2018-06-27,706,SNPP,VIIRS,h,1,334.5,812.3,N,2018-06-27 07:06:00,1,1.3530595738107873
-0.76386,-91.13665,367.0,0.39,0.44,2018-06-27,706,SNPP,VIIRS,h,1,340.13,524.36,N,2018-06-27 07:06:00,1,2.6569578446649924
-0.727077,-91.160309,331.43,0.39,0.44,2018-06-27,706,SNPP,VIIRS,n,1,282.79,31.12,N,2018-06-27 07:06:00,1,7.485841899826404
-0.763309,-91.140198,353.33,0.39,0.44,2018-06-27,706,SNPP,VIIRS,n,1,287.0,54.2,N,2018-06-27 07:06:00,1,2.985447305249592
-0.761418,-91.125771,367.0,0.39,0.44,2018-06-27,706,SNPP,VIIRS,h,1,342.82,670.9,N,2018-06-27 07:06:00,1,2.2699924272223564
-0.766591,-91.119019,351.82,0.39,0.44,2018-06-27,706,SNPP,VIIRS,n,1,295.62,127.96,N,2018-06-27 07:06:00,1,1.6059160217069366
-0.766047,-91.122528,367.0,0.39,0.44,2018-06-27,706,SNPP,VIIRS,h,1,318.59,127.96,N,2018-06-27 07:06:00,1,1.6862879386743161
-0.762503,-91.118782,351.54,0.39,0.44,2018-06-27,706,SNPP,VIIRS,n,1,293.96,127.96,N,2018-06-27 07:06:00,1,2.0612260383604633
-0.761962,-91.122253,367.0,0.39,0.44,2018-06-27,706,SNPP,VIIRS,h,1,317.97,127.96,N,2018-06-27 07:06:00,1,2.1316984840339717
-0.758426,-91.118462,344.13,0.39,0.44,2018-06-27,706,SNPP,VIIRS,n,1,314.73,169.47,N,2018-06-27 07:06:00,1,2.5159323276852574
-0.757884,-91.121941,367.0,0.39,0.44,2018-06-27,706,SNPP,VIIRS,h,1,339.33,169.47,N,2018-06-27 07:06:00,1,2.5794257394310742
-0.75435,-91.118118,342.78,0.39,0.44,2018-06-27,706,SNPP,VIIRS,n,1,313.75,169.47,N,2018-06-27 07:06:00,1,2.9707234749885107
-0.770134,-91.12278,367.0,0.39,0.44,2018-06-27,706,SNPP,VIIRS,h,1,324.2,175.03,N,2018-06-27 07:06:00,1,1.2471537910375874
-0.753805,-91.12162,367.0,0.39,0.44,2018-06-27,706,SNPP,VIIRS,h,1,344.52,169.47,N,2018-06-27 07:06:00,1,3.0293056417761735
-0.74972,-91.12133,367.0,0.39,0.44,2018-06-27,706,SNPP,VIIRS,h,1,340.77,118.57,N,2018-06-27 07:06:00,1,3.481319390133045
-0.739394,-91.18763,346.46,0.39,0.44,2018-06-27,706,SNPP,VIIRS,n,1,301.65,46.51,N,2018-06-27 07:06:00,1,8.828674680418347
-0.735887,-91.18351,355.02,0.39,0.44,2018-06-27,706,SNPP,VIIRS,n,1,282.61,46.51,N,2018-06-27 07:06:00,1,8.661789250318016
-0.735308,-91.18721,356.74,0.39,0.44,2018-06-27,706,SNPP,VIIRS,n,1,283.42,46.51,N,2018-06-27 07:06:00,1,9.036359441828049
-0.714942,-91.184685,334.61,0.39,0.44,2018-06-27,706,SNPP,VIIRS,n,1,312.62,58.67,N,2018-06-27 07:06:00,1,10.28002665401409
-0.715508,-91.181099,367.0,0.39,0.44,2018-06-27,706,SNPP,VIIRS,h,1,288.52,58.67,N,2018-06-27 07:06:00,1,9.959026852228392
-0.711435,-91.180588,367.0,0.39,0.44,2018-06-27,706,SNPP,VIIRS,h,1,287.3,58.67,N,2018-06-27 07:06:00,1,10.25743629166515
-0.750268,-91.117821,347.78,0.39,0.44,2018-06-27,706,SNPP,VIIRS,n,1,304.13,118.57,N,2018-06-27 07:06:00,1,3.42581989907864
-0.770679,-91.119255,345.72,0.39,0.44,2018-06-27,706,SNPP,VIIRS,n,1,312.29,175.03,N,2018-06-27 07:06:00,1,1.1506282315566214
-0.774235,-91.12294,367.0,0.39,0.44,2018-06-27,706,SNPP,VIIRS,h,1,337.01,175.03,N,2018-06-27 07:06:00,1,0.8201877757660342
-0.774777,-91.119423,337.25,0.39,0.44,2018-06-27,706,SNPP,VIIRS,n,1,313.57,175.03,N,2018-06-27 07:06:00,1,0.6949335679153572
-0.760872,-91.12928,367.0,0.39,0.44,2018-06-27,706,SNPP,VIIRS,h,1,352.91,670.9,N,2018-06-27 07:06:00,1,2.4645150642457985
-0.760325,-91.132805,367.0,0.39,0.44,2018-06-27,706,SNPP,VIIRS,h,1,366.46,524.36,N,2018-06-27 07:06:00,1,2.704104209648127
