latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-0.761639,-91.097824,309.78,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.69,1.85,N
-0.76217,-91.094414,302.02,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.98,1.33,N
-0.762701,-91.091003,300.71,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.69,1.33,N
-0.763231,-91.087601,303.07,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.64,0.75,N
-0.764647,-91.10498,313.55,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.89,4.39,N
-0.698121,-91.185959,323.24,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,286.09,1.4,N
-0.697556,-91.189507,324.08,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.69,1.4,N
-0.69406,-91.185364,304.44,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.61,1.4,N
-0.693494,-91.188911,303.29,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.45,1.4,N
-0.692928,-91.192474,305.58,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.56,1.29,N
-0.727863,-91.208244,346.84,0.4,0.44,2018-06-27,706,N,VIIRS,n,1,286.48,5.24,N
-0.723787,-91.207718,337.11,0.4,0.44,2018-06-27,706,N,VIIRS,n,1,286.61,5.24,N
-0.719711,-91.207191,349.9,0.4,0.44,2018-06-27,706,N,VIIRS,n,1,286.08,6.81,N
-0.765179,-91.101562,311.93,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,286.09,3.21,N
-0.765709,-91.098152,307.54,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.84,3.21,N
-0.766237,-91.094757,304.59,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.74,1.56,N
-0.766765,-91.091362,303.65,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.54,1.56,N
-0.767291,-91.087982,298.1,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.59,2.0,N
-0.768734,-91.105209,317.21,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.76,4.39,N
-0.76926,-91.101814,313.75,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.95,3.21,N
-0.769784,-91.09845,308.13,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.52,3.21,N
-0.770306,-91.095085,302.05,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.57,1.56,N
-0.770831,-91.091713,302.78,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.47,1.56,N
-0.772821,-91.105431,326.52,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,286.2,7.09,N
-0.773346,-91.102043,314.52,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.85,2.54,N
-0.773867,-91.098686,309.66,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.85,2.54,N
-0.774388,-91.095329,300.0,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.65,3.56,N
-0.776911,-91.105621,319.1,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.74,7.09,N
-0.777434,-91.102242,313.63,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.69,2.54,N
-0.777952,-91.0989,308.59,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.35,2.54,N
-0.77847,-91.095566,302.55,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.54,3.56,N
-0.773286,-91.104988,321.99,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.79,4.24,N
-0.773833,-91.101624,311.15,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.63,1.47,N
-0.774376,-91.098267,305.73,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.41,1.47,N
-0.774918,-91.094917,296.48,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.35,1.29,N
-0.777384,-91.105186,312.37,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.8,4.24,N
-0.777929,-91.101822,307.46,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.54,1.47,N
-0.778468,-91.09848,303.29,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.33,1.47,N
-0.779006,-91.095154,298.98,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.28,1.29,N
-0.781447,-91.105583,310.04,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.77,1.15,N
-0.781993,-91.102203,303.23,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.55,0.41,N
-0.782539,-91.098831,299.39,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.34,0.41,N
-0.783083,-91.095451,300.19,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.34,1.04,N
-0.78548,-91.106171,311.82,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.75,1.15,N
-0.786039,-91.102699,300.41,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.54,0.41,N
-0.786597,-91.099243,295.8,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.49,0.41,N
-0.789499,-91.106834,309.53,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.87,1.76,N
-0.79006,-91.103348,303.38,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,285.97,1.19,N
-0.732347,-91.153114,367.0,0.39,0.44,2018-06-27,706,N,VIIRS,h,1,283.27,7.69,N
-0.731766,-91.156815,323.75,0.39,0.44,2018-06-27,706,N,VIIRS,n,1,281.53,7.69,N
