date_only,satellite,distance_km,frp,latitude,longitude,source
2018-06-27,SNPP,11.204771891530813,826.11,-0.73998,-91.183861,1
2018-06-28,SNPP,8.662998780013641,43.25,-0.73393,-91.126808,1
2018-07-02,SNPP,13.759318134481024,634.44,-0.706344,-91.210915,1
2018-07-03,SNPP,13.255627407577174,482.15,-0.712331,-91.194168,1
2018-07-04,SNPP,13.23398467886872,479.03,-0.69619,-91.203506,1
2018-07-06,SNPP,12.968533725940846,402.16,-0.721422,-91.198296,1
2018-07-07,SNPP,12.419223253611351,61.41,-0.707668,-91.197365,1
2018-07-08,SNPP,14.193327866130575,684.19,-0.699566,-91.200302,1
2018-07-09,SNPP,13.516192736856675,186.36,-0.681265,-91.183022,1
2018-07-10,SNPP,13.382609981540803,397.56,-0.69207,-91.188957,1
2018-07-11,SNPP,13.774411730269803,145.46,-0.688911,-91.185425,1
2018-07-12,SNPP,13.91225366057568,302.56,-0.727125,-91.193306,1
2018-07-13,SNPP,14.09669994489248,549.67,-0.686477,-91.190308,1
2018-07-15,SNPP,13.145247894870673,154.66,-0.68224,-91.184982,1
2018-07-16,SNPP,12.810373708168928,115.94,-0.7083,-91.183151,1
2018-07-18,SNPP,14.343325431417384,480.88,-0.716041,-91.194031,1
2018-07-19,SNPP,13.630650921602536,334.76,-0.708465,-91.19809,1
2018-07-20,SNPP,13.817031237001025,445.79,-0.681231,-91.180862,1
2018-07-22,SNPP,13.790318179556275,131.31,-0.706615,-91.180618,1
2018-07-24,SNPP,14.09775223677077,170.03,-0.684413,-91.170258,1
2018-07-25,SNPP,12.669042614446296,69.79,-0.682031,-91.176453,1
2018-07-26,SNPP,14.350382318102273,276.61,-0.707357,-91.19445,1
2018-07-27,SNPP,15.125783392857647,123.3,-0.725335,-91.1884,1
2018-07-28,SNPP,15.189429017110166,159.7,-0.706686,-91.19912,1
2018-07-29,SNPP,15.451913262831429,60.68,-0.700234,-91.192818,1
2018-07-30,SNPP,10.901262565315161,737.27,-0.726683,-91.201622,1
2018-07-31,SNPP,15.713647531562323,366.35,-0.726284,-91.200058,1
2018-08-01,SNPP,11.707181651162434,185.15,-0.714077,-91.201286,1
2018-08-02,SNPP,11.112916914657431,48.58,-0.72791,-91.204681,1
2018-08-03,SNPP,10.574673539339482,29.42,-0.718225,-91.191444,1
2018-08-04,SNPP,12.029010541991761,480.68,-0.73086,-91.19883,1
2018-08-05,SNPP,10.423927508109339,148.89,-0.712445,-91.183945,1
2018-08-07,SNPP,11.56699154188782,34.66,-0.72364,-91.204948,1
2018-08-08,SNPP,11.390177296701747,47.72,-0.722086,-91.201759,1
2018-08-09,SNPP,11.980609774456449,494.64,-0.711194,-91.169174,1
2018-08-10,SNPP,11.289540170103676,182.68,-0.712207,-91.18248,1
2018-08-11,SNPP,11.386804776844704,181.96,-0.725345,-91.194359,1
2018-08-12,SNPP,11.024869561761845,90.84,-0.71818,-91.184914,1
2018-08-16,SNPP,12.138867660733471,140.4,-0.717831,-91.198792,1
2018-08-18,SNPP,11.504148837628641,29.43,-0.719878,-91.199516,1
2018-08-20,SNPP,10.462263241176908,60.14,-0.729539,-91.198776,1
