latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,date,source,bright_ti4,bright_ti5,type,distance_km
-0.03914,-91.30445,367.0,0.42,0.37,2022-01-07,722,SNPP,VIIRS,h,2.0NRT,329.92,829.47,N,2022-01-07 07:22:00,1,,,,2.2141868334267034
-0.05858,-91.29269,327.36,0.42,0.37,2022-01-07,722,SNPP,VIIRS,n,2.0NRT,292.86,117.5,N,2022-01-07 07:22:00,1,,,,4.729361905248283
-0.05916,-91.28899,355.99,0.42,0.37,2022-01-07,722,SNPP,VIIRS,n,2.0NRT,288.78,117.5,N,2022-01-07 07:22:00,1,,,,5.026441257066276
-0.05551,-91.30683,354.11,0.42,0.37,2022-01-07,722,SNPP,VIIRS,n,2.0NRT,285.97,49.97,N,2022-01-07 07:22:00,1,,,,3.7156043015514646
-0.05609,-91.30314,322.97,0.42,0.37,2022-01-07,722,SNPP,VIIRS,n,2.0NRT,289.76,49.97,N,2022-01-07 07:22:00,1,,,,3.919534575992363
-0.05845,-91.28835,355.64,0.42,0.37,2022-01-07,722,SNPP,VIIRS,n,2.0NRT,288.27,32.32,N,2022-01-07 07:22:00,1,,,,5.009667676112611
-0.05786,-91.29204,318.31,0.42,0.37,2022-01-07,722,SNPP,VIIRS,n,2.0NRT,290.7,32.32,N,2022-01-07 07:22:00,1,,,,4.706151927845475
-0.05893,-91.30744,343.18,0.42,0.37,2022-01-07,722,SNPP,VIIRS,n,2.0NRT,286.94,49.97,N,2022-01-07 07:22:00,1,,,,4.061212676887981
-0.05952,-91.30373,356.64,0.42,0.37,2022-01-07,722,SNPP,VIIRS,n,2.0NRT,287.12,49.97,N,2022-01-07 07:22:00,1,,,,4.24962279744573
-0.06011,-91.30003,352.1,0.42,0.37,2022-01-07,722,SNPP,VIIRS,n,2.0NRT,287.32,343.85,N,2022-01-07 07:22:00,1,,,,4.468771287584413
-0.0607,-91.29631,352.25,0.42,0.37,2022-01-07,722,SNPP,VIIRS,n,2.0NRT,287.78,343.85,N,2022-01-07 07:22:00,1,,,,4.715708869585995
-0.06129,-91.29262,356.18,0.42,0.37,2022-01-07,722,SNPP,VIIRS,n,2.0NRT,287.92,32.32,N,2022-01-07 07:22:00,1,,,,4.983835693265153
-0.06187,-91.28892,353.56,0.42,0.37,2022-01-07,722,SNPP,VIIRS,n,2.0NRT,287.56,32.32,N,2022-01-07 07:22:00,1,,,,5.270876488719541
-0.02372,-91.31285,340.49,0.42,0.37,2022-01-07,722,SNPP,VIIRS,n,2.0NRT,299.44,2405.23,N,2022-01-07 07:22:00,1,,,,0.4614803407658682
-0.02429,-91.30923,353.68,0.42,0.37,2022-01-07,722,SNPP,VIIRS,n,2.0NRT,293.04,99.9,N,2022-01-07 07:22:00,1,,,,0.866642939216047
-0.02486,-91.30561,367.0,0.42,0.37,2022-01-07,722,SNPP,VIIRS,h,2.0NRT,289.07,99.9,N,2022-01-07 07:22:00,1,,,,1.273288617375828
-0.02771,-91.30987,367.0,0.42,0.37,2022-01-07,722,SNPP,VIIRS,h,2.0NRT,338.18,99.9,N,2022-01-07 07:22:00,1,,,,0.9106979199733404
-0.03,-91.31779,356.88,0.42,0.37,2022-01-07,722,SNPP,VIIRS,n,2.0NRT,276.16,806.63,N,2022-01-07 07:22:00,1,,,,0.7082209043394065
-0.03171,-91.30685,367.0,0.42,0.37,2022-01-07,722,SNPP,VIIRS,h,2.0NRT,334.92,5978.96,N,2022-01-07 07:22:00,1,,,,1.4391191578982008
-0.03228,-91.30322,355.97,0.42,0.37,2022-01-07,722,SNPP,VIIRS,n,2.0NRT,292.0,49.09,N,2022-01-07 07:22:00,1,,,,1.8061847352522369
-0.03285,-91.29957,367.0,0.42,0.37,2022-01-07,722,SNPP,VIIRS,h,2.0NRT,289.88,49.09,N,2022-01-07 07:22:00,1,,,,2.189986057485573
-0.03343,-91.31843,353.47,0.42,0.37,2022-01-07,722,SNPP,VIIRS,n,2.0NRT,275.94,806.63,N,2022-01-07 07:22:00,1,,,,1.0957491303906386
