latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-0.029602,-91.256248,367.0,0.45,0.39,2015-05-25,1918,N,VIIRS,h,1,354.12,183.61,D
-0.030181,-91.260117,367.0,0.45,0.39,2015-05-25,1918,N,VIIRS,h,1,369.04,183.61,D
-0.030762,-91.263992,367.0,0.45,0.39,2015-05-25,1918,N,VIIRS,h,1,361.05,136.1,D
-0.031342,-91.267853,367.0,0.45,0.39,2015-05-25,1918,N,VIIRS,l,1,329.88,136.1,D
-0.031924,-91.271744,367.0,0.45,0.39,2015-05-25,1918,N,VIIRS,l,1,292.37,20.78,D
-0.024287,-91.245148,367.0,0.45,0.39,2015-05-25,1918,N,VIIRS,h,1,365.04,174.99,D
-0.024869,-91.249031,367.0,0.45,0.39,2015-05-25,1918,N,VIIRS,h,1,334.28,66.51,D
-0.025449,-91.252907,353.01,0.45,0.39,2015-05-25,1918,N,VIIRS,n,1,297.46,66.51,D
-0.026028,-91.256767,351.58,0.45,0.39,2015-05-25,1918,N,VIIRS,n,1,299.34,53.03,D
-0.027187,-91.264496,367.0,0.45,0.39,2015-05-25,1918,N,VIIRS,l,1,332.19,134.42,D
-0.027765,-91.268356,367.0,0.45,0.39,2015-05-25,1918,N,VIIRS,l,1,327.75,134.42,D
-0.021298,-91.249557,367.0,0.45,0.39,2015-05-25,1918,N,VIIRS,h,1,295.44,66.51,D
-0.021876,-91.253418,348.02,0.45,0.39,2015-05-25,1918,N,VIIRS,n,1,293.92,66.51,D
-0.022456,-91.257294,351.53,0.45,0.39,2015-05-25,1918,N,VIIRS,n,1,292.59,53.03,D
-0.023035,-91.261154,344.14,0.45,0.39,2015-05-25,1918,N,VIIRS,n,1,293.18,53.03,D
-0.020722,-91.245705,320.49,0.45,0.39,2015-05-25,1918,N,VIIRS,l,1,320.65,174.99,D
-0.017734,-91.250137,350.34,0.45,0.39,2015-05-25,1918,N,VIIRS,n,1,294.22,15.76,D
-0.018885,-91.25782,356.29,0.45,0.39,2015-05-25,1918,N,VIIRS,n,1,292.2,38.93,D
-0.019463,-91.261681,354.77,0.45,0.39,2015-05-25,1918,N,VIIRS,n,1,291.49,38.93,D
-0.016586,-91.242462,350.71,0.45,0.39,2015-05-25,1918,N,VIIRS,n,1,293.52,16.41,D
-0.020038,-91.265526,367.0,0.45,0.39,2015-05-25,1918,N,VIIRS,l,1,288.49,116.25,D
-0.020569,-91.257439,367.0,0.45,0.39,2015-05-25,1918,N,VIIRS,h,1,291.64,11.23,D
-0.0188,-91.245911,350.33,0.45,0.39,2015-05-25,1918,N,VIIRS,n,1,296.32,27.3,D
-0.01939,-91.249756,354.76,0.45,0.39,2015-05-25,1918,N,VIIRS,n,1,293.82,25.42,D
-0.018208,-91.242058,353.46,0.45,0.39,2015-05-25,1918,N,VIIRS,n,1,294.48,27.3,D
-0.026694,-91.236862,352.31,0.45,0.39,2015-05-25,1918,N,VIIRS,n,1,293.3,34.45,D
-0.012215,-91.274399,367.0,0.45,0.39,2015-05-25,1918,N,VIIRS,l,1,287.86,36.28,D
-0.021162,-91.261292,349.23,0.45,0.39,2015-05-25,1918,N,VIIRS,n,1,291.4,11.23,D
-0.021754,-91.265152,367.0,0.45,0.39,2015-05-25,1918,N,VIIRS,l,1,289.37,25.72,D
-0.015788,-91.27388,367.0,0.45,0.39,2015-05-25,1918,N,VIIRS,l,1,292.32,36.28,D
-0.019361,-91.273354,367.0,0.45,0.39,2015-05-25,1918,N,VIIRS,l,1,297.8,83.54,D
-0.022344,-91.26899,367.0,0.45,0.39,2015-05-25,1918,N,VIIRS,l,1,287.48,25.72,D
-0.018182,-91.265671,367.0,0.45,0.39,2015-05-25,1918,N,VIIRS,h,1,295.74,25.72,D
-0.033094,-91.279549,367.0,0.45,0.39,2015-05-25,1918,N,VIIRS,l,1,287.88,33.8,D
-0.032509,-91.275642,367.0,0.45,0.39,2015-05-25,1918,N,VIIRS,l,1,288.01,20.78,D
-0.017593,-91.261833,350.66,0.45,0.39,2015-05-25,1918,N,VIIRS,n,1,294.11,11.23,D
-0.01877,-91.269501,367.0,0.45,0.39,2015-05-25,1918,N,VIIRS,l,1,293.46,25.72,D
-0.015198,-91.270027,367.0,0.45,0.39,2015-05-25,1918,N,VIIRS,h,1,302.49,54.09,D
-0.014023,-91.262367,346.72,0.45,0.39,2015-05-25,1918,N,VIIRS,n,1,300.79,57.14,D
-0.011627,-91.270569,367.0,0.45,0.39,2015-05-25,1918,N,VIIRS,h,1,290.6,54.09,D
-0.020146,-91.241859,353.69,0.45,0.39,2015-05-25,1918,N,VIIRS,n,1,309.54,174.99,D
-0.043299,-91.250221,345.26,0.45,0.39,2015-05-25,1918,N,VIIRS,n,1,291.03,10.86,D
-0.039728,-91.250748,342.18,0.45,0.39,2015-05-25,1918,N,VIIRS,n,1,292.92,17.99,D
-0.040313,-91.254646,343.76,0.45,0.39,2015-05-25,1918,N,VIIRS,n,1,292.47,14.84,D
-0.041489,-91.262466,347.33,0.45,0.39,2015-05-25,1918,N,VIIRS,n,1,289.88,14.26,D
-0.02313,-91.237427,348.34,0.45,0.39,2015-05-25,1918,N,VIIRS,n,1,294.56,15.2,D
-0.023707,-91.241272,352.25,0.45,0.39,2015-05-25,1918,N,VIIRS,n,1,311.24,174.99,D
-0.042666,-91.270302,341.89,0.45,0.39,2015-05-25,1918,N,VIIRS,n,1,289.93,9.25,D
-0.042077,-91.26638,367.0,0.45,0.39,2015-05-25,1918,N,VIIRS,l,1,288.43,14.26,D
-0.034992,-91.243523,367.0,0.45,0.39,2015-05-25,1918,N,VIIRS,h,1,293.76,32.96,D
-0.035575,-91.247406,367.0,0.45,0.39,2015-05-25,1918,N,VIIRS,h,1,293.64,17.99,D
-0.036159,-91.251289,367.0,0.45,0.39,2015-05-25,1918,N,VIIRS,h,1,293.67,17.99,D
-0.036676,-91.279068,367.0,0.45,0.39,2015-05-25,1918,N,VIIRS,l,1,286.28,33.8,D
