date_only,satellite,distance_km,frp,latitude,longitude,source
2022-01-07,NOAA20,8.431966128840488,616.82,-0.07638,-91.26711,2
2022-01-07,SNPP,5.270876488719541,5978.96,-0.03914,-91.30445,1
2022-01-08,NOAA20,10.163107777998428,616.58,-0.06041,-91.28926,2
2022-01-08,SNPP,11.239076585995958,2331.99,-0.09746,-91.26823,1
2022-01-09,NOAA20,12.662955865811576,447.04,-0.03612,-91.31522,2
2022-01-09,SNPP,13.378923331148451,539.54,-0.08728,-91.26385,1
2022-01-10,NOAA20,14.088252186252614,1747.9,-0.06017,-91.30007,2
2022-01-10,SNPP,13.941086307136391,829.14,-0.0511,-91.29565,1
2022-01-11,NOAA20,12.642766197731603,83.95,-0.04545,-91.29315,2
2022-01-11,SNPP,13.507144012038355,73.52,-0.10224,-91.23898,1
2022-01-12,NOAA20,9.62731741939525,377.27,-0.07523,-91.27442,2
2022-01-12,SNPP,7.02976051897259,23.12,-0.05435,-91.29287,1
2022-01-13,SNPP,9.248824726698839,479.05,-0.06528,-91.27818,1
2022-01-14,SNPP,11.200025469079076,547.11,-0.08055,-91.26336,1
2022-01-15,SNPP,12.776743016617333,1182.52,-0.1007,-91.2331,1
2022-01-16,NOAA20,13.673901531915622,992.82,-0.08576,-91.26062,2
2022-01-16,SNPP,13.23660415036928,1856.53,-0.08457,-91.24828,1
2022-01-17,NOAA20,14.117117184936303,331.73,-0.09985,-91.22631,2
2022-01-17,SNPP,14.232147081930934,1514.89,-0.08717,-91.26559,1
2022-01-18,NOAA20,7.34730614664642,36.47,-0.06506,-91.30057,2
2022-01-18,SNPP,9.45722329768068,667.52,-0.04347,-91.29807,1
2022-01-19,NOAA20,7.641755707110606,458.07,-0.06758,-91.2725,2
2022-01-20,SNPP,9.331657025326471,822.91,-0.06406,-91.28663,1
2022-01-21,NOAA20,10.298002400637271,329.84,-0.08543,-91.28448,2
2022-01-22,NOAA20,9.248678976779571,292.1,-0.07285,-91.26683,2
2022-01-23,SNPP,7.041038700064375,539.03,-0.05768,-91.29158,1
2022-01-24,NOAA20,6.83824366559452,191.69,-0.04688,-91.29089,2
2022-01-25,NOAA20,9.304140839583564,46.87,-0.07684,-91.2588,2
2022-01-25,SNPP,8.696045680915574,30.05,-0.08,-91.26274,1
2022-01-26,SNPP,9.306957279757034,24.32,-0.08109,-91.2644,1
2022-01-27,SNPP,8.49261367756179,20.03,-0.07831,-91.27313,1
2022-01-28,NOAA20,10.672009634476717,52.76,-0.08863,-91.24634,2
2022-01-29,SNPP,10.334776103677518,126.94,-0.05865,-91.29337,1
2022-02-02,NOAA20,8.968326091052354,231.36,-0.08439,-91.28774,2
2022-02-02,SNPP,8.569760677865634,378.2,-0.06114,-91.28692,1
2022-02-03,NOAA20,9.442264224524477,282.12,-0.05795,-91.28539,2
2022-02-03,SNPP,9.426566412647928,154.22,-0.09042,-91.28632,1
2022-02-04,NOAA20,9.614277664737761,104.64,-0.06545,-91.2897,2
2022-02-04,SNPP,9.926178094429076,155.27,-0.09874,-91.26868,1
2022-02-05,SNPP,10.805052093228188,189.16,-0.097,-91.25323,1
2022-02-07,NOAA20,12.307784880474818,275.12,-0.09986,-91.25452,2
2022-02-07,SNPP,12.08252623994823,34.71,-0.10718,-91.25224,1
2022-02-08,NOAA20,13.256364159015368,419.91,-0.10467,-91.25539,2
2022-02-08,SNPP,12.750633391764454,79.35,-0.10932,-91.24869,1
2022-02-09,SNPP,13.195286291145555,93.4,-0.07013,-91.27197,1
2022-02-12,NOAA20,14.877792472895006,61.45,-0.11998,-91.22411,2
2022-02-13,NOAA20,14.404437276972061,49.24,-0.11548,-91.2256,2
2022-02-15,SNPP,11.161463783361278,93.46,-0.09185,-91.25974,1
2022-02-16,NOAA20,10.858929285214039,61.19,-0.08434,-91.26563,2
2022-02-16,SNPP,11.420823921953827,95.86,-0.07244,-91.27267,1
2022-02-19,SNPP,13.042421510353654,30.29,-0.07979,-91.26947,1
2022-02-20,NOAA20,10.001503033890831,22.43,-0.07852,-91.27172,2
2022-02-20,SNPP,12.248085018900742,101.92,-0.05568,-91.29221,1
2022-02-21,SNPP,12.99151527590315,122.71,-0.0993,-91.25984,1
2022-02-22,NOAA20,13.736968792332704,108.78,-0.09977,-91.2586,2
2022-02-23,NOAA20,13.521327227391634,168.08,-0.08413,-91.26826,2
2022-02-23,SNPP,13.619896221988855,115.42,-0.10516,-91.24171,1
2022-02-24,NOAA20,13.405378447978398,322.6,-0.05545,-91.29595,2
2022-02-24,SNPP,13.246790856221487,36.69,-0.10566,-91.23344,1
2022-02-25,NOAA20,13.97381762163556,390.61,-0.05673,-91.29896,2
2022-02-25,SNPP,13.748577703060352,310.29,-0.07564,-91.26435,1
2022-02-26,NOAA20,12.160371357965044,126.41,-0.05653,-91.29071,2
2022-02-26,SNPP,12.698738566503632,109.97,-0.07707,-91.26463,1
2022-02-27,NOAA20,12.974217141115602,143.43,-0.10542,-91.24535,2
2022-02-27,SNPP,12.492604195057252,339.91,-0.09987,-91.23927,1
2022-02-28,NOAA20,14.016754434515052,242.76,-0.08802,-91.26328,2
